latency,weight
1,0
2,0
3,530
4,8940
5,17627
6,16045
7,10881
8,6993
9,4178
10,2626
11,1716
12,1236
13,963
14,768
15,606
16,486
17,388
18,361
19,289
20,238
21,277
22,244
23,247
24,229
25,197
26,199
27,189
28,191
29,174
30,186
31,183
32,179
33,153
34,157
35,128
36,159
37,172
38,181
39,189
40,177
41,168
42,210
43,192
44,194
45,170
46,202
47,206
48,176
49,163
50,185
51,169
52,184
53,183
54,190
55,152
56,149
57,161
58,155
59,141
60,171
61,150
62,178
63,155
64,149
65,151
66,137
67,147
68,142
69,160
70,142
71,124
72,148
73,129
74,96
75,108
76,96
77,71
78,87
79,63
80,45
81,55
82,53
83,40
84,46
85,23
86,36
87,20
88,24
89,14
90,24
91,7
92,17
93,7
94,7
95,9
96,5
97,7
98,7
99,4
100,6
