latency,weight
1,0
2,0
3,24
4,3582
5,15136
6,17457
7,19130
8,20762
9,17589
10,13021
11,9128
12,6635
13,4848
14,3757
15,2900
16,2241
17,1672
18,1284
19,997
20,793
21,616
22,519
23,418
24,392
25,330
26,284
27,287
28,208
29,209
30,213
31,165
32,162
33,164
34,140
35,147
36,144
37,144
38,135
39,111
40,109
41,110
42,95
43,94
44,112
45,92
46,75
47,82
48,59
49,59
50,64
51,48
52,40
53,36
54,39
55,44
56,40
57,43
58,38
59,41
60,42
61,42
62,42
63,39
64,35
65,39
66,40
67,38
68,34
69,34
70,35
71,29
72,23
73,22
74,25
75,29
76,17
77,25
78,18
79,25
80,28
81,20
82,22
83,24
84,11
85,15
86,10
87,10
88,14
89,10
90,9
91,8
92,3
93,10
94,6
95,3
96,3
97,5
98,7
99,6
100,7
