latency,weight
1,0
2,0
3,8
4,1911
5,8756
6,10940
7,11490
8,12335
9,10522
10,8061
11,6154
12,4520
13,3316
14,2467
15,1935
16,1374
17,1028
18,773
19,608
20,490
21,401
22,323
23,277
24,209
25,195
26,159
27,158
28,118
29,112
30,84
31,84
32,90
33,81
34,91
35,63
36,83
37,89
38,74
39,62
40,52
41,73
42,56
43,62
44,52
45,54
46,52
47,42
48,51
49,28
50,33
51,27
52,26
53,22
54,20
55,24
56,22
57,23
58,13
59,22
60,23
61,17
62,11
63,19
64,15
65,22
66,22
67,24
68,25
69,30
70,21
71,30
72,29
73,26
74,30
75,25
76,28
77,24
78,20
79,28
80,25
81,23
82,19
83,16
84,13
85,10
86,19
87,9
88,10
89,13
90,8
91,9
92,7
93,5
94,5
95,3
96,2
97,0
98,5
99,3
100,6
