latency,weight
1,0
2,0
3,1
4,1645
5,14925
6,25508
7,23155
8,16840
9,11745
10,8095
11,6012
12,4518
13,3636
14,2791
15,2302
16,1801
17,1404
18,1136
19,962
20,840
21,748
22,682
23,575
24,563
25,499
26,440
27,401
28,400
29,396
30,386
31,351
32,349
33,361
34,315
35,310
36,353
37,343
38,286
39,329
40,339
41,340
42,348
43,380
44,357
45,331
46,282
47,275
48,199
49,186
50,151
51,161
52,111
53,112
54,98
55,82
56,82
57,91
58,86
59,90
60,65
61,76
62,60
63,64
64,58
65,62
66,60
67,61
68,48
69,66
70,58
71,53
72,32
73,52
74,51
75,37
76,29
77,32
78,54
79,30
80,30
81,30
82,21
83,23
84,19
85,23
86,27
87,17
88,13
89,11
90,13
91,18
92,14
93,11
94,7
95,7
96,7
97,5
98,9
99,4
100,5
