latency,weight
1,0
2,0
3,10
4,1599
5,11716
6,18599
7,17337
8,13389
9,9282
10,6449
11,4464
12,3131
13,2321
14,1785
15,1487
16,1245
17,1064
18,909
19,801
20,771
21,720
22,636
23,644
24,635
25,601
26,534
27,550
28,532
29,543
30,487
31,493
32,501
33,535
34,519
35,474
36,492
37,484
38,506
39,571
40,548
41,637
42,635
43,582
44,519
45,478
46,439
47,324
48,283
49,230
50,192
51,166
52,153
53,130
54,109
55,111
56,85
57,106
58,90
59,74
60,75
61,73
62,76
63,95
64,70
65,78
66,72
67,61
68,67
69,61
70,69
71,63
72,48
73,49
74,37
75,43
76,43
77,36
78,29
79,38
80,28
81,40
82,23
83,17
84,20
85,13
86,21
87,13
88,23
89,14
90,18
91,15
92,9
93,7
94,11
95,7
96,5
97,9
98,5
99,10
100,7
