PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=0.716 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=0.937 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=0.789 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=0.635 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=0.753 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=0.955 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=0.692 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=0.744 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=0.602 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=0.561 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=0.655 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=1.13 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=0.792 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=0.917 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=0.938 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=0.942 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=0.684 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=0.650 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=0.876 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=0.681 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=0.634 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=0.993 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=0.989 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=1.21 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=0.687 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=0.650 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=0.641 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=0.506 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=0.565 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=0.614 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=0.605 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=0.792 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=0.649 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=0.749 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=0.780 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=0.628 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=0.832 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=1.02 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=0.578 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=5.67 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=0.623 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=0.756 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=0.600 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=0.674 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=0.542 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=0.716 ms
64 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=2.53 ms
64 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=0.853 ms
64 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=0.559 ms
64 bytes from 10.0.0.4: icmp_seq=50 ttl=64 time=0.742 ms

--- 10.0.0.4 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9960ms
rtt min/avg/max/mdev = 0.506/0.881/5.676/0.746 ms
